Sample_Date,Mean viral gene copies/L,smoothed,zscore
2022-03-11,572350.0,592752.2857142857,-0.9103329428960918
2022-03-12,600107.3333333334,601364.7142857143,-0.895302040273616
2022-03-13,627864.6666666666,626073.8571428572,-0.8802711376511405
2022-03-14,655622.0,655920.5714285715,-0.8652402350286648
2022-03-15,687544.0,677159.2857142857,-0.8479541194010347
2022-03-16,696947.0,701624.0476190476,-0.8428622910304249
2022-03-17,751009.0,729314.8571428572,-0.813587120832413
2022-03-18,721021.0,760231.7142857143,-0.8298259540960359
2022-03-19,771360.6666666666,782428.8571428572,-0.8025664685169258
2022-03-20,821700.3333333334,811745.1428571428,-0.7753069829378155
2022-03-21,872040.0,838698.7142857143,-0.7480474973587055
2022-03-22,842924.0,878376.7142857143,-0.763814132989746
2022-03-23,902161.0,907746.9523809524,-0.7317366431258928
2022-03-24,939684.0,926809.4285714285,-0.7114175241265958
2022-03-25,998767.0,935564.1428571428,-0.6794234269639097
2022-03-26,976952.3333333334,943502.8571428572,-0.6912363099404839
2022-03-27,955137.6666666666,940126.8571428572,-0.7030491929170585
2022-03-28,933323.0,924845.9285714285,-0.7148620758936327
2022-03-29,898495.0,894580.0714285715,-0.7337218226225062
2022-03-30,878529.0,864497.7857142857,-0.7445336321777114
2022-03-31,832717.5,834599.0714285715,-0.7693410654862501
2022-04-01,786906.0,804883.9285714285,-0.7941484987947889
2022-04-02,766376.3333333334,779952.5,-0.8052655400765601
2022-04-03,745846.6666666666,762332.0714285715,-0.8163825813583315
2022-04-04,725317.0,756911.8571428572,-0.8274996226401027
2022-04-05,723975.0,753115.2857142857,-0.8282263304645585
2022-04-06,755186.0,751377.6666666667,-0.811325229191018
2022-04-07,794776.0,751699.0,-0.789886806858524
2022-04-08,760330.0,754079.2857142857,-0.8085396963676195
2022-04-09,754213.0,755777.4285714285,-0.8118521194393008
2022-04-10,748096.0,752093.0,-0.8151645425109822
2022-04-11,741979.0,746707.2857142857,-0.8184769655826636
2022-04-12,735862.0,743039.5714285715,-0.8217893886543449
2022-04-13,729395.0,741357.8095238095,-0.8252913405923151
2022-04-14,757076.0,741662.0,-0.8103017733130586
2022-04-15,734656.0,743952.1428571428,-0.8224424509764715
2022-04-16,742440.6666666666,749179.7142857143,-0.8182269679828447
2022-04-17,750225.3333333334,757782.1428571428,-0.8140114849892176
2022-04-18,758010.0,762836.1428571428,-0.8097960019955908
2022-04-19,772455.0,773259.4285714285,-0.8019738749283295
2022-04-20,789612.0,784709.7142857143,-0.7926831699028534
2022-04-21,792454.0,797187.0,-0.7911441955085885
2022-04-22,807619.0,810691.2857142857,-0.7829321804878188
2022-04-23,822592.6666666666,821947.619047619,-0.7748237745806204
2022-04-24,837566.3333333334,830568.5714285715,-0.7667153686734217
2022-04-25,852540.0,838599.1428571428,-0.7586069627662234
2022-04-26,851249.3333333334,845919.2857142857,-0.7593058730236234
2022-04-27,849958.6666666666,852556.3333333334,-0.7600047832810237
2022-04-28,848668.0,858510.2857142857,-0.7607036935384238
2022-04-29,858860.0,863781.1428571428,-0.7551846129520945
2022-04-30,869052.0,866673.8095238096,-0.7496655323657652
2022-05-01,879244.0,871901.0,-0.7441464517794358
2022-05-02,889436.0,879462.7142857143,-0.7386273711931064
2022-05-03,871498.0,885955.2857142857,-0.7483409963459299
2022-05-04,886549.0,891082.7619047619,-0.7401907135844656
2022-05-05,901600.0,894845.1428571428,-0.7320404308230014
2022-05-06,904308.0,897242.4285714285,-0.7305740189089728
2022-05-07,904944.3333333334,902454.9821428572,-0.7302294373796915
2022-05-08,905580.6666666666,905770.0892857143,-0.7298848558504104
2022-05-09,906217.0,907187.75,-0.7295402743211291
2022-05-10,907985.875,908471.25,-0.7285824089686818
2022-05-11,909754.75,909916.5416666667,-0.7276245436162344
2022-05-12,911523.625,911523.625,-0.7266666782637871
2022-05-13,913292.5,913292.5,-0.7257088129113398
2022-05-14,915061.375,915061.375,-0.7247509475588925
2022-05-15,916830.25,919918.9107142857,-0.7237930822064451
2022-05-16,918599.125,927865.1071428572,-0.7228352168539978
2022-05-17,920368.0,932848.0357142857,-0.7218773515015504
2022-05-18,943757.5,939750.125,-0.7092116788785175
2022-05-19,967147.0,948571.375,-0.6965460062554848
2022-05-20,948173.0,959311.7857142857,-0.7068206368525229
2022-05-21,963376.0,970766.9285714285,-0.6985880444119847
2022-05-22,978579.0,981823.0,-0.6903554519714467
2022-05-23,993782.0,998732.7142857143,-0.6821228595309085
2022-05-24,1000554.0,1028311.9523809523,-0.6784557467237438
2022-05-25,1021150.0,1065678.2857142857,-0.6673027852092187
2022-05-26,1085515.0,1110831.7142857143,-0.6324484266987116
2022-05-27,1155227.6666666667,1155107.1904761905,-0.5946982476149941
2022-05-28,1224940.3333333333,1199709.142857143,-0.5569480685312767
2022-05-29,1294653.0,1242662.7142857143,-0.5191978894475591
