Sample_Date,Mean viral gene copies/L,smoothed,zscore
2022-06-28,6229442.0,6078700.607142857,0.2791817477584284
2022-06-29,6024028.0,6155608.214285715,0.24109277049544228
2022-06-30,6146936.75,6254688.214285715,0.2638831771092663
2022-07-01,6269845.5,6363626.357142857,0.2866735837230903
2022-07-02,6392754.25,6517409.642857143,0.30946399033691435
2022-07-03,6515663.0,6670915.357142857,0.33225439695073833
2022-07-04,6966715.0,6819690.178571428,0.4158909035784483
2022-07-05,7305925.0,6963734.107142857,0.4787890603612262
2022-07-06,7098568.0,7103047.142857143,0.4403398015068101
2022-07-07,7188360.5,7237629.285714285,0.4569896135492546
2022-07-08,7278153.0,7373736.142857143,0.473639425591699
2022-07-09,7367945.5,7402684.142857143,0.49028923763414345
2022-07-10,7457738.0,7544460.285714285,0.5069390496765879
2022-07-11,7919463.0,7789750.464285715,0.5925546018139898
2022-07-12,7508561.0,8138554.678571428,0.5163629258069234
2022-07-13,8091001.0,8590872.92857143,0.6243621075426067
2022-07-14,8905391.75,9146705.214285715,0.7753708545605131
2022-07-15,9719782.5,9889410.92857143,0.9263796015784195
2022-07-16,10534173.25,10540171.642857144,1.0773883485963258
2022-07-17,11348564.0,11600081.357142856,1.2283970956142323
2022-07-18,13118403.0,12586618.82142857,1.556570235858549
2022-07-19,12063886.0,13499784.035714285,1.3610359780356533
2022-07-20,15510369.0,14339577.0,2.0001015364896446
2022-07-21,15811154.0,15105997.714285715,2.055874721501607
2022-07-22,16111939.0,15445453.857142856,2.11164790651357
2022-07-23,16412724.0,16557306.285714285,2.1674210915255325
2022-07-24,16713509.0,16937265.85714286,2.223194276537495
2022-07-25,15494596.0,17331014.035714287,1.9971768213369818
2022-07-26,19846853.0,17738550.82142857,2.804195904338492
2022-07-27,18170086.0,18159876.214285713,2.493280678802134
2022-07-28,18567391.25,18594990.214285713,2.566951171727227
2022-07-29,18964696.5,19210496.214285713,2.6406216646523197
2022-07-30,19362001.75,19347374.92857143,2.7142921575774124
2022-07-31,19759307.0,19208103.64285714,2.7879626505025055
2022-08-01,19803138.0,19007360.92857143,2.79609003209487
2022-08-02,20805004.0,18745146.785714287,2.981861456119322
2022-08-03,17195187.0,18421461.214285713,2.3125096220839554
2022-08-04,17162192.25,18036304.214285713,2.3063915567011293
2022-08-05,17129197.5,17433794.5,2.3002734913183027
2022-08-06,17096202.75,16852574.785714287,2.294155425935476
2022-08-07,17063208.0,16302619.07142857,2.2880373605526496
2022-08-08,15585570.0,15631330.07142857,2.014045713513381
2022-08-09,16736466.0,14838707.785714285,2.2274510879088054
2022-08-10,13345497.0,13924752.214285715,1.5986792362312625
2022-08-11,12463169.25,12889463.357142856,1.4350732424418826
2022-08-12,11580841.5,12321341.785714285,1.2714672486525027
2022-08-13,10698513.75,11157441.214285715,1.1078612548631226
2022-08-14,9816186.0,10324278.357142856,0.9442552610737426
2022-08-15,11608719.0,9592621.142857144,1.27663644580386
2022-08-16,8589162.0,8962469.57142857,0.7167338202900652
2022-08-17,7513357.0,8433823.642857144,0.5172522261221565
2022-08-18,7341568.75,8006683.357142857,0.4853983176821369
2022-08-19,7169780.5,7469927.928571428,0.45354440924211736
2022-08-20,6997992.25,7329864.5,0.4216905008020978
2022-08-21,6826204.0,7314505.071428572,0.3898365923620783
2022-08-22,7851431.0,7291802.785714285,0.579939739627598
2022-08-23,7608718.0,7261757.642857143,0.534934579616931
2022-08-24,7405841.0,7224369.642857143,0.49731602664496793
2022-08-25,7182652.75,7179638.785714285,0.45593125160716297
2022-08-26,6959464.5,6975893.928571428,0.414546476569358
2022-08-27,6736276.25,6832100.214285715,0.3731617015315531
2022-08-28,6513088.0,6676476.928571428,0.3317769264937481
2022-08-29,6425217.0,6530468.214285715,0.3154834093961995
2022-08-30,6602162.0,6394074.071428572,0.3482935103717858
2022-08-31,6316478.0,6267294.5,0.2953204346301181
2022-09-01,6160591.75,6150129.5,0.2664151612219659
2022-09-02,6004705.5,6229254.928571428,0.2375098878138137
2022-09-03,5848819.25,6311720.642857143,0.20860461440566155
2022-09-04,5692933.0,6414110.7,0.17969934099750937
2022-09-05,6979095.0,6517882.564285715,0.41818647028040523
2022-09-06,7179422.0,6623036.235714286,0.4553321884308829
2022-09-07,7033208.4,6729571.714285715,0.42822047021333526
2022-09-08,6886994.8,6837489.0,0.40110875199578744
2022-09-09,6740781.2,6810675.714285715,0.37399703377823973
2022-09-10,6594567.6,6608258.714285715,0.3468853155606919
2022-09-11,6448354.0,6331999.371428572,0.31977359734314426
2022-09-12,6791402.0,6048156.364285714,0.38338341688861277
2022-09-13,5762503.0,5756729.6928571435,0.1925993874801539
2022-09-14,5099393.0,5457719.357142857,0.06964193709771291
2022-09-15,4900093.75,5151125.357142857,0.032686789922835885
2022-09-16,4700794.5,4775004.071428572,-0.004268357252041141
2022-09-17,4501495.25,4549916.928571428,-0.04122350442691816
2022-09-18,4302196.0,4468929.042857143,-0.07817865160179518
2022-09-19,4158553.0,4465781.735714286,-0.10481371523420153
2022-09-20,4186893.0,4540475.007142858,-0.09955875882600625
2022-09-21,4532477.8,4693008.857142857,-0.03547855207459883
2022-09-22,4878062.6,4923383.285714285,0.028601654676808586
2022-09-23,5223647.4,5022685.857142857,0.09268186142821618
2022-09-24,5569232.2,5061499.571428572,0.1567620681796236
2022-09-25,5914817.0,4994503.742857143,0.220842274931031
2022-09-26,4853671.0,4918123.121428572,0.02407883199769305
2022-09-27,4458589.0,4832357.707142858,-0.049179413861961535
2022-09-28,4063507.0,4737207.5,-0.12243765972161612
2022-09-29,4343398.25,4632672.5,-0.07053870708275622
2022-09-30,4623289.5,4853117.642857143,-0.018639754443896324
2022-10-01,4903180.75,4855247.785714285,0.03325919819496358
2022-10-02,5183072.0,4826329.5,0.08515815083382347
2022-10-03,6396787.0,4749738.921428571,0.3102117647001871
2022-10-04,4473500.0,4625476.05,-0.04641453542150282
2022-10-05,3861079.0,4453540.885714286,-0.1599729566799138
2022-10-06,3807264.2,4233933.428571428,-0.16995158858237486
2022-10-07,3753449.4,3833250.285714286,-0.17993022048483603
2022-10-08,3699634.6,3519677.4285714286,-0.1899088523872971
2022-10-09,3645819.8,3461916.5714285714,-0.19988748428975825
2022-10-10,3592005.0,3386075.4285714286,-0.20986611619221932
2022-10-11,2278490.0,3292154.0,-0.4534251869935826
2022-10-12,3456753.0,3180152.285714286,-0.23494527512380822
2022-10-13,3276376.2,3050070.285714286,-0.2683917190564038
2022-10-14,3095999.4,2901908.0,-0.30183816298899946
2022-10-15,2915622.6,2729185.1428571427,-0.33528460692159506
2022-10-16,2735245.8,2417450.0,-0.3687310508541907
2022-10-17,2554869.0,2134063.5714285714,-0.4021774947867863
2022-10-18,1069430.0,1879025.857142857,-0.6776156455289599
2022-10-19,1274607.0,1652336.8571428568,-0.6395706140905589
2022-10-20,1292671.2,1453996.5714285714,-0.6362210522151559
2022-10-21,1310735.4,1284005.0,-0.632871490339753
2022-10-22,1328799.6,1346622.4285714286,-0.62952192846435
2022-10-23,1346863.8,1347083.4285714286,-0.6261723665889469
2022-10-24,1364928.0,1358899.7571428572,-0.6228228047135439
2022-10-25,1507752.0,1382071.4142857143,-0.5963396045002735
2022-10-26,1277834.0,1416598.4000000001,-0.6389722462596046
2022-10-27,1375385.5,1462480.7142857143,-0.620883718381903
2022-10-28,1472937.0,1373755.0,-0.6027951905042015
2022-10-29,1570488.5,1433659.7142857143,-0.5847066626264998
2022-10-30,1668040.0,1420598.7142857143,-0.5666181347487983
2022-10-31,743848.0,1385977.392857143,-0.7379868246853833
2022-11-01,1927085.0,1329795.75,-0.518584606775582
2022-11-02,1186407.0,1252053.7857142857,-0.6559251361513502
2022-11-03,1133036.25,1152751.5,-0.6658214298959758
2022-11-04,1079665.5,1216419.9285714286,-0.6757177236406013
2022-11-05,1026294.75,1141997.7857142857,-0.685614017385227
2022-11-06,972924.0,1234888.357142857,-0.6955103111298525
2022-11-07,1189527.0,1350119.5,-0.6553466088403562
2022-11-08,1406130.0,1487691.2142857143,-0.6151829065508599
2022-11-09,1836641.0,1647603.5,-0.5353552234792806
2022-11-10,1939654.25,1829856.357142857,-0.5162539483128542
2022-11-11,2042667.5,2090018.357142857,-0.4971526731464278
2022-11-12,2145680.75,2361929.714285714,-0.4780513979800014
2022-11-13,2248694.0,2615032.1428571427,-0.45895012281357506
